County,FIPS,Clay,Clay_Loam,Loam,Loamy_Sand,Sand,Sandy_Clay,Sandy_Clay_Loam,Sandy_Loam,Silt_Loam,Silty_Clay,Silty_Clay_Loam
AUTAUGA,1001,0,0,7.10005844,6.571872484,0,0,0,83.49867748,0.061842701,0.356504984,2.411043909
BALDWIN,1003,0,0.963479215,28.91072002,15.04425338,2.038700918,0,0,46.52217312,2.932095839,2.18E-05,3.588555703
BARBOUR,1005,0,0.349608136,0.008561671,42.2527926,0.562624085,0,0.680120195,56.14629331,0,0,0
BIBB,1007,0,0.032433654,7.249928143,1.414722418,0,0,0,87.26185031,3.912337426,0,0.128728053
BLOUNT,1009,0,0,16.48494919,0.248369343,0,0,0,41.0846425,23.68875115,0,18.49328781
BULLOCK,1011,0.796121342,11.43830382,22.15191223,2.770461873,0,0,0,60.9810769,5.61E-05,1.859879502,0.002188226
BUTLER,1013,0.287659188,0.47345961,17.2252848,3.570790274,0.737916142,0,0.99247347,71.79797743,3.522458872,1.391801041,0.000179171
CALHOUN,1015,0,5.557634763,42.49775072,0,0,0,0.000402427,18.68331566,26.04951579,0,7.211380642
CHAMBERS,1017,0,8.313296665,77.31993108,0,0,0,0.283265293,8.19713164,5.886375319,0,0
CHEROKEE,1019,0.000252228,0.225744025,57.24174852,0,0,0,0,9.696525623,31.84983356,0,0.985896043
CHILTON,1021,0,0.098052589,29.25928517,0.626821813,0,0,0.024915827,68.82858867,1.162285592,0,5.03E-05
CHOCTAW,1023,0.761779592,2.836963063,8.411974617,0.584099711,0,0,0,80.49616038,0.000839553,0.18458711,6.723595972
CLARKE,1025,1.183796467,5.301207464,17.43387597,16.83042541,0,0,0.357094815,49.22941365,0.468621866,0,9.195564358
CLAY,1027,0,0.004837367,80.91912269,0,0,0,0,14.00106652,5.074973423,0,0
CLEBURNE,1029,0,1.66789712,70.65785886,0,0,0,0,17.02009519,10.65414883,0,0
COFFEE,1031,0,0,8.255570206,13.70689084,0,0,0.000821848,78.03671711,0,0,0
COLBERT,1033,0,0,21.48606811,0,0,0,0,32.12658838,44.34605601,0.003289841,2.037997662
CONECUH,1035,0,0,0.014175488,2.048849716,0.025073407,0,3.757938376,94.15277489,0.000778423,0.000409696,0
COOSA,1037,0,0.81429073,34.87950774,0,0,0,0.00096195,63.40079275,0.904446828,0,0
COVINGTON,1039,0,0,0.006689947,20.59199889,0.004198283,0,0,79.39711288,0,0,0
CRENSHAW,1041,0,0.319998342,1.168241518,16.27679223,0.393348088,0,0,81.08969856,0,0.751921257,0
CULLMAN,1043,0,0,46.81272201,0.002719928,0,0,0,32.79812793,20.30445057,0,0.081979573
DALE,1045,0,0,3.869279628,18.52559465,0.000373886,0.140767924,1.562966383,75.90101753,0,0,0
DALLAS,1047,9.092862345,15.12932465,9.087084652,2.362065684,0,0,0.000433327,57.70583666,0.806927166,2.500044235,3.315421279
DEKALB,1049,0,0,20.35993224,0,0,0,0,56.63105146,18.7226911,0.261481935,4.024843257
ELMORE,1051,0,0.063792507,30.54264027,0.3074047,0,0,0,62.73171071,6.354451814,0,0
ESCAMBIA,1053,0,0.000110726,4.258224723,4.497023686,24.42595977,0,0.000479812,66.34414658,0,0.474054696,0
ETOWAH,1055,0,0,37.43672139,0,0,0,0,37.71914242,24.84140845,0,0.002727741
FAYETTE,1057,0,0.090872599,24.48808621,0,0.025892315,0,0,52.20910789,23.18604099,0,0
FRANKLIN,1059,0,0.324363823,6.487992862,0,0,0,0,71.14484559,7.905858443,9.843499691,4.293439596
GENEVA,1061,0,0,34.9607697,12.93081333,0.003811704,0,0,50.94766228,1.156942989,0,0
GREENE,1063,6.888523811,11.3248167,41.38018965,0.256736066,0,0,2.471274533,24.1378562,7.702733056,5.472080767,0.365789214
HALE,1065,7.938799346,6.166848877,4.679387884,0.565135241,0,0,0,54.58420114,3.153654517,1.554341553,21.35763144
HENRY,1067,0,0,0.698844851,23.20582798,5.000390993,0,2.33325722,68.76167895,0,0,0
HOUSTON,1069,0,0,0.20228067,48.40240288,1.118486052,0,0.000480192,50.27635021,0,0,0
JACKSON,1071,0,1.345638097,6.846932777,0,0,0,0,43.40580711,16.95449,22.40844953,9.038682485
JEFFERSON,1073,0,0,62.60717082,0.001442716,0,0,0,19.93305144,15.60372404,0,1.854610985
LAMAR,1075,0,0,34.57214841,0,0,0,0,65.41674484,0.01110675,0,0
LAUDERDALE,1077,0,5.20E-05,14.97540199,0,0,0,0,0.001612132,82.80822915,0,2.21470472
LAWRENCE,1079,0,3.208170531,21.2158744,5.03E-05,0,0,0,29.17741538,20.75691061,7.118037222,18.52354157
LEE,1081,0,0.002248593,40.13784451,0.001729687,0,0,0,53.09533227,6.762844943,0,0
LIMESTONE,1083,0,2.865502591,0.57612073,0,0,0,0,0.119514079,82.41398715,0,14.02487545
LOWNDES,1085,5.46781844,37.76408476,8.21432924,2.245860003,0,0,5.709466541,29.9873253,4.013981173,2.348330108,4.248804434
MACON,1087,0.547179743,10.35274188,2.658780965,8.586044331,0.290369591,0,0,69.44597045,1.055283428,0.967304832,6.096324782
MADISON,1089,0,0.065045819,4.78182295,0,0,0,0,4.650906299,48.45857042,2.6775169,39.36613762
MARENGO,1091,12.57560917,8.255289778,10.4810347,7.807899726,0,0,0,47.4550283,2.692037266,5.20890613,5.524194934
MARION,1093,0,0,34.85736478,0,0,0,0,58.6833918,6.45924342,0,0
MARSHALL,1095,0,0.976848072,26.10502318,0,0,0,0.458109336,52.17812967,7.581632496,0.50339654,12.1968607
MOBILE,1097,0,0,7.252949661,12.74359674,7.240554331,0,0.000883345,70.02658015,0.164786661,0,2.570649111
MONROE,1099,0,1.334345155,18.74822299,2.243901316,0.000135391,0,0,71.51371781,3.007573768,0,3.152103569
MONTGOMERY,1101,19.16400732,20.94594475,11.07369976,2.867917224,0,0,1.715254063,36.59486884,5.091110247,2.522868574,0.024329215
MORGAN,1103,0,7.059313729,22.27810408,0,0,0,0,25.74735586,28.29496602,3.320124833,13.30013548
PERRY,1105,14.77454873,5.401086362,14.35604739,4.84E-05,0,0,0,57.90882864,0.001403068,0.003386716,7.554650711
PICKENS,1107,0,0,24.88761555,0,0,0,0.001114787,66.47871892,0.000915718,4.729881184,3.901753838
PIKE,1109,0.534822732,0.000211622,11.38068279,16.13604993,0,0,1.04864194,70.89953808,5.29E-05,0,0
RANDOLPH,1111,0,17.9217021,1.349879076,0,0,0,0.028004771,80.62186558,0.078302813,0,0.000245656
RUSSELL,1113,0,4.403691596,2.397031978,4.421184957,2.792646828,0,0.000220736,85.74715967,0.002317732,0.234697999,0.001048498
SHELBY,1117,0,0.180860501,29.41489469,0.000352383,0,0,0,9.300572886,59.56274573,0,1.540573803
ST. CLAIR,1115,0,0,44.44096001,0,0,0,0,29.69486803,25.71061841,0,0.153553546
SUMTER,1119,3.88E-05,6.293927009,18.78360038,10.48692788,0,0,4.593099636,31.16732871,2.265686387,15.34692825,11.06246293
TALLADEGA,1121,0,9.704097665,20.08988714,0,0,0,0.438479762,9.611699387,56.78014785,0,3.3756882
TALLAPOOSA,1123,0,0.003380503,40.54425126,1.547594096,0,0,0.303569135,56.2779797,1.323225309,0,0
TUSCALOOSA,1125,0,0,20.52800706,7.92E-05,0,0,0.000158348,67.15719445,12.31400675,0,0.000554219
WALKER,1127,0,0,10.42088828,8.933860038,0,0,0,39.18425804,41.46016172,0,0.000831916
WASHINGTON,1129,1.090793566,0.005058622,5.775270878,15.75918639,0.25161006,0,0,69.94489002,0.489365294,0.91467619,5.769148979
WILCOX,1131,8.967386162,2.798558065,25.43207579,3.022480557,0,0,7.88E-05,43.75607114,2.776047547,3.171814781,10.07548711
WINSTON,1133,0,0,9.204276543,0.286258353,0,0,0,82.8231961,7.686269001,0,0
