,County,FIPS(county code)-kg/ha,RF(rain fed)-kg/ha,IR(irrigated),Year
0,Clay,1027,5221,13453,2010
1,Marengo,1091,6499.5,12580.5,2010
2,DeKalb,1049,8095,14087,2010
3,Cherokee,1019,6019,14039,2010
4,Hale,1065,7493.5,12759.5,2010
5,Perry,1105,6464,13174,2010
6,Colbert,1033,8218,13568.5,2010
7,Greene,1063,5547,12720,2010
8,Butler,1013,7663,13233,2010
9,Lee,1081,5234,13559,2010
10,Mobile,1097,7582,7056,2010
11,Fayette,1057,9981,13370,2010
12,Chambers,1017,5060,13639,2010
13,Tuscaloosa,1125,10771.5,13275,2010
14,Wilcox,1131,4399,12695.5,2010
15,Marshall,1095,6313,13694.5,2010
16,Escambia,1053,9203,12387.5,2010
17,Limestone,1083,8417,13774,2010
18,Blount,1009,4307,13557,2010
19,Monroe,1099,6040.5,12755.5,2010
20,Marion,1093,12049,13411,2010
21,Lowndes,1085,4901,12909.5,2010
22,Coosa,1037,4330.5,13419,2010
23,Pike,1109,7799.5,12996,2010
24,Sumter,1119,6527,12637,2010
25,Winston,1133,8375,13756,2010
26,Talladega,1121,3682,13399,2010
27,Jackson,1071,2597,13111,2010
28,Baldwin,1003,6781,11551,2010
29,Bullock,1011,5754,13305,2010
30,Autauga,1001,5827,13023,2010
31,Macon,1087,4680,13326,2010
32,St. Clair,1115,5748,13461.5,2010
33,Choctaw,1023,6683,12425,2010
34,Cullman,1043,4307,13416,2010
35,Shelby,1117,6920,13350,2010
36,Dallas,1047,5409,12713,2010
37,Pickens,1107,9347,13253,2010
38,Lauderdale,1077,9373,13530,2010
39,Cleburne,1029,7296,13867,2010
40,Barbour,1005,6648,13146.5,2010
41,Geneva,1061,6101.5,12042,2010
42,Dale,1045,7705,12793,2010
43,Tallapoosa,1123,4838,13567,2010
44,Clarke,1025,6237,12398,2010
45,Houston,1069,5842,11673,2010
46,Washington,1129,10828,12295,2010
47,Madison,1089,7425,13652,2010
48,Crenshaw,1041,5747.5,13122,2010
49,Calhoun,1015,4365,13658,2010
50,Lawrence,1079,9026,13650,2010
51,Morgan,1103,5895,13619,2010
52,Lamar,1075,10905,13476,2010
53,Russell,1113,5405,13165,2010
54,Franklin,1059,4898.5,13112.5,2010
55,Conecuh,1035,5640.5,12496,2010
56,Elmore,1051,6384,13302.5,2010
57,Jefferson,1073,2650,13404.5,2010
58,Walker,1127,2905,13435,2010
59,Randolph,1111,5625,13409,2010
60,Montgomery,1101,5154.5,12927,2010
61,Bibb,1007,6941,13198,2010
62,Etowah,1055,6409,13716,2010
63,Chilton,1021,5756,13211,2010
64,Coffee,1031,6557.5,12543,2010
65,Covington,1039,7093.5,11664.5,2010
66,Henry,1067,7574,12981,2010
67,Clay,1027,5526,12510,2011
68,Marengo,1091,2078.5,13384.5,2011
69,DeKalb,1049,11127,13376,2011
70,Cherokee,1019,8515,12976,2011
71,Hale,1065,2516,13034,2011
72,Perry,1105,2485,13238,2011
73,Colbert,1033,6826,13008,2011
74,Greene,1063,1990,13114,2011
75,Butler,1013,1998,13453,2011
76,Lee,1081,3963,13260,2011
77,Mobile,1097,1833,12260,2011
78,Fayette,1057,7614,13087,2011
79,Chambers,1017,3665,13021,2011
80,Tuscaloosa,1125,3607,12972,2011
81,Wilcox,1131,1566,13279,2011
82,Marshall,1095,8459,13175,2011
83,Escambia,1053,2129,13026.5,2011
84,Limestone,1083,8870,13185,2011
85,Blount,1009,5318,13149,2011
86,Monroe,1099,1271.5,13014,2011
87,Marion,1093,9601,12988,2011
88,Lowndes,1085,1479,13361.5,2011
89,Coosa,1037,4153,12811,2011
90,Pike,1109,1450.5,13246.5,2011
91,Sumter,1119,2202.5,13360,2011
92,Winston,1133,8023.5,13076,2011
93,Talladega,1121,3957,12664,2011
94,Jackson,1071,4428,12590,2011
95,Baldwin,1003,1346,12747,2011
96,Bullock,1011,1908,13487,2011
97,Autauga,1001,3450,13250,2011
98,Macon,1087,1457,13428,2011
99,St. Clair,1115,5121,12774,2011
100,Choctaw,1023,2950,13416,2011
101,Cullman,1043,5091.5,13183.5,2011
102,Shelby,1117,3494.5,12874,2011
103,Dallas,1047,1935,13445,2011
104,Pickens,1107,4775,13071,2011
105,Lauderdale,1077,9370,13102,2011
106,Cleburne,1029,6643,12769,2011
107,Barbour,1005,1424.5,13289.5,2011
108,Geneva,1061,1177,13009.5,2011
109,Dale,1045,1571,12995,2011
110,Tallapoosa,1123,3329,12872,2011
111,Clarke,1025,1652,13149,2011
112,Houston,1069,1235,12924,2011
113,Washington,1129,2070,13128,2011
114,Madison,1089,9533,12964,2011
115,Crenshaw,1041,1801.5,13240,2011
116,Calhoun,1015,6118,12734,2011
117,Lawrence,1079,8849,12893,2011
118,Morgan,1103,8284,13259,2011
119,Lamar,1075,8155,13080,2011
120,Russell,1113,1513,13311,2011
121,Franklin,1059,3471,12049,2011
122,Conecuh,1035,1220,12698,2011
123,Elmore,1051,2306.5,13333,2011
124,Jefferson,1073,2568,12818,2011
125,Walker,1127,4701,12902,2011
126,Randolph,1111,5972,12383,2011
127,Montgomery,1101,1579.5,13624.5,2011
128,Bibb,1007,3960,12923,2011
129,Etowah,1055,8440,13030,2011
130,Chilton,1021,4072.5,12901,2011
131,Coffee,1031,1751,12970,2011
132,Covington,1039,1455.5,12308.5,2011
133,Henry,1067,785,13113,2011
134,Clay,1027,4063,13444,2012
135,Marengo,1091,5589.5,13864,2012
136,DeKalb,1049,6052,13403,2012
137,Cherokee,1019,3006,13020,2012
138,Hale,1065,4331,12861.5,2012
139,Perry,1105,3732,12891,2012
140,Colbert,1033,2373.5,12818.5,2012
141,Greene,1063,4089,13192,2012
142,Butler,1013,9966,13694,2012
143,Lee,1081,5216,11920,2012
144,Mobile,1097,3793,7081,2012
145,Fayette,1057,7351,13450,2012
146,Chambers,1017,4643,12251,2012
147,Tuscaloosa,1125,4651.5,12124.5,2012
148,Wilcox,1131,5019.5,13507,2012
149,Marshall,1095,5391.5,12951.5,2012
150,Escambia,1053,8340,13863.5,2012
151,Limestone,1083,2878,12668,2012
152,Blount,1009,4948,12849,2012
153,Monroe,1099,7807,13875.5,2012
154,Marion,1093,9739,13347,2012
155,Lowndes,1085,4678.5,13843.5,2012
156,Coosa,1037,5104.5,11875.5,2012
157,Pike,1109,4637,13909.5,2012
158,Sumter,1119,3816.5,13308,2012
159,Winston,1133,4553,12688,2012
160,Talladega,1121,3401,12034,2012
161,Jackson,1071,1043,12175,2012
162,Baldwin,1003,5098,13314,2012
163,Bullock,1011,5133,12661,2012
164,Autauga,1001,5030,13920,2012
165,Macon,1087,4480,12179,2012
166,St. Clair,1115,6240.5,13184,2012
167,Choctaw,1023,4849,13969,2012
168,Cullman,1043,916.5,12760,2012
169,Shelby,1117,3671.5,11877,2012
170,Dallas,1047,4995,13698,2012
171,Pickens,1107,8096,12480,2012
172,Lauderdale,1077,2544,12352,2012
173,Cleburne,1029,4562,13674,2012
174,Barbour,1005,5433,13970.5,2012
175,Geneva,1061,3594.5,13441,2012
176,Dale,1045,6321,13542,2012
177,Tallapoosa,1123,4845,12013,2012
178,Clarke,1025,5584,13924,2012
179,Houston,1069,4971,13478,2012
180,Washington,1129,11555,13930,2012
181,Madison,1089,3728,12521,2012
182,Crenshaw,1041,4616,13725.5,2012
183,Calhoun,1015,4859,13267,2012
184,Lawrence,1079,2146,12480,2012
185,Morgan,1103,2037,12665,2012
186,Lamar,1075,8926.5,13598,2012
187,Russell,1113,4730,12569,2012
188,Franklin,1059,1002,12275.5,2012
189,Conecuh,1035,3726,13521.5,2012
190,Elmore,1051,5213.5,12367.5,2012
191,Jefferson,1073,1264,11888,2012
192,Walker,1127,754,13185,2012
193,Randolph,1111,4198,13941,2012
194,Montgomery,1101,5465,14106,2012
195,Bibb,1007,3493,11830,2012
196,Etowah,1055,5462,13120,2012
197,Chilton,1021,4017,11754.5,2012
198,Coffee,1031,4683.5,13665,2012
199,Covington,1039,5858,13480,2012
200,Henry,1067,5323,13772,2012
201,Clay,1027,11814,11952,2013
