County,FIPS,RF,IR,Year,IrrAmt_Mean,IrrAmt_Median,Precip_Mean,Precip_Median
Autauga,1001,5827,13023,2010,181.69,172.5,339.33,342.9
Autauga,1001,3450,13250,2011,226.2,228,336.88,334.7
Autauga,1001,5030,13920,2012,204.92,208,341.78,345.6
Autauga,1001,6974.5,11658.5,2013,131.72,130,561.18,563.9
Autauga,1001,7653,13899,2014,152.94,152.5,592.73,589
Autauga,1001,8554,13360,2015,121.44,129,472.55,459
Autauga,1001,6050.5,13285,2016,161.45,166.5,514.26,512.7
Autauga,1001,12052,12283,2017,63.72,60,440.99,439.4
Autauga,1001,12357.5,12668,2018,82.11,82,594.55,598.45
Autauga,1001,8509,12752.5,2019,144.44,148,411.71,396
Autauga,1001,11393.5,12363,2020,98.17,102,510.95,502
Baldwin,1003,6781,11551,2010,122.11,126.5,460.54,437.4
Baldwin,1003,1346,12747,2011,269.42,285,269.88,269.6
Baldwin,1003,5098,13314,2012,154.72,161,563.11,553.1
Baldwin,1003,6889,11761,2013,118.13,118,616.24,593.9
Baldwin,1003,11102,13321,2014,107.15,121.5,1024.15,1048.45
Baldwin,1003,9787,11650,2015,106.53,103.5,618.15,620.2
Baldwin,1003,5663,12898,2016,132.45,144.5,609.55,618.2
Baldwin,1003,11167,11280,2017,69.12,53.5,452.91,448.9
Baldwin,1003,8492,12365,2018,109.37,104.5,453.77,455.85
Baldwin,1003,3777,12820,2019,138.83,131.5,488.01,492.85
Baldwin,1003,8366,12537,2020,160.19,157,407.46,408.7
Barbour,1005,6648,13146.5,2010,174.71,178,343.05,340.5
Barbour,1005,1424.5,13289.5,2011,282.22,281.5,209.84,218.2
Barbour,1005,5433,13970.5,2012,190.1,187.5,359.3,365.25
Barbour,1005,9403,11709,2013,101.27,102,654.63,653.8
Barbour,1005,6361.5,13795.5,2014,171.27,179,612.66,608
Barbour,1005,9087,12869,2015,108.61,107,452.88,457.95
Barbour,1005,4838,12907,2016,189.1,188,409.95,415.15
Barbour,1005,11166.5,11574.5,2017,65.42,60.5,480.08,480.2
Barbour,1005,12045,12619.5,2018,78.7,79.5,512.13,513.45
Barbour,1005,4074.5,11236.5,2019,164.35,166.5,344.79,337.6
Barbour,1005,9068,12749.5,2020,123.21,122,430.11,425.4
Bibb,1007,6941,13198,2010,160.61,157,368.59,372.4
Bibb,1007,3960,12923,2011,232.52,230,336.01,339.3
Bibb,1007,3493,11830,2012,233.32,238,245.72,237.9
Bibb,1007,9812,11599,2013,103.72,103,545.74,546.7
Bibb,1007,7021,14258,2014,159.55,157,604.37,608.3
Bibb,1007,7670,13086,2015,150.75,153,463.47,471.5
Bibb,1007,5450,12380,2016,186.28,180,426.08,425.9
Bibb,1007,12280,12621,2017,86.25,88,488.9,487.95
Bibb,1007,8936,12558,2018,118.49,111,590.23,585.8
Bibb,1007,7929,13124,2019,167.17,173,388.61,389.7
Bibb,1007,9101,11765,2020,118.67,118,562.37,561
Blount,1009,4307,13557,2010,188.68,209,509.31,507.8
Blount,1009,5318,13149,2011,191.61,210,540.93,533.2
Blount,1009,4948,12849,2012,192.77,201,402.14,400.1
Blount,1009,10084,12717,2013,119.2,125,830.16,826.1
Blount,1009,5193,14096,2014,188.52,186,535.4,541.5
Blount,1009,3539,12985,2015,197.77,219,489.62,489.6
Blount,1009,4889,13028,2016,196.76,207,424.95,443.9
Blount,1009,12094,12555,2017,90.07,89,498.93,488.2
Blount,1009,9022,12907,2018,135.52,147,562.07,552.9
Blount,1009,6376,12486,2019,164.93,165,469.35,455.5
Blount,1009,7562,11451,2020,133.56,129,629.6,635.1
Bullock,1011,5754,13305,2010,171.25,171,367.97,363.6
Bullock,1011,1908,13487,2011,273.87,269,249.04,246.2
Bullock,1011,5133,12661,2012,189.19,193,428.95,436.5
Bullock,1011,8731,11665,2013,114.91,113,575.54,573.8
Bullock,1011,6447,14050,2014,152.23,154,667.11,672.3
Bullock,1011,8082,13031,2015,124.84,126,456.13,450.2
Bullock,1011,4807,13218,2016,187.91,189,433.19,428.5
Bullock,1011,11668,11992,2017,77.46,68,514.3,509.05
Bullock,1011,11136,12709,2018,102.28,104,460.75,457.9
Bullock,1011,6974,11198,2019,151.88,148,436.52,433.7
Bullock,1011,7923,12797,2020,131.54,126,454.67,454.4
Butler,1013,7663,13233,2010,160.35,165,407.14,410.2
